,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,V,W,Zn,Zr,url
28,35.0,A 5.4: E 310 Mo-16,,,"Ceweld 310Mo electrodes are primarily intended for welding the clad side of 316, 316L and 317 clad steels as well as other grades of molybdenum bearing stainless steels. Ceweld 310Mo electrodes are used for the resurfacing of digesters in the paper industry",,,0.1,SMAW Stick Electrodes,,23.0,,8556: E 25 22 2 NLB,1.4466,,0.0,,210.0,3,AW,70.0,,,3581-A: E 25 20 3 R 12,,1.75,2.5,,310 Mo,,,20.0,,,,,Ceweld 310Mo is a rutile basic electrode similar to Ceweld 4842 Ti but with molybdenum added for improved high temperature creep properties. The weld deposit is fully austenitic and corrosion resistant.,2,300.0,540.0,380.0,,0.5,,"1.4832, 1.4837, 1.4841, 1.4845, 1.4846, 1.4849, 1.4848, 1.4828, 1.4713, 1.4726, 1.4710, 1.4745, 1.4823 heat resisting stainless steel.",,,,,,http://www.ceweld.nl/en/product/310-mo
29,45.0,A 5.9: ER 310,,,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers.",,,0.1,GMAW-GTAW Solid wires,,26.0,0.3,8556: SG X12CrNi 25 20,1.4842,,0.0,,,0,AW,175.0,,60.0,14343-A: W 25 20 Mn,,1.8,0.3,,310 Tig,,,21.0,,,,,"Solid drawn ,corrosioresistant, chromiunickel wire for welding hearesistant austenitic steels of the 25% Cr, 20% Ni types. 310 has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In no case shall a temperature of 1000°C be exceeded. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",0,,590.0,3.0,,0.5,,"Heat resistant stainless steels: 1.4823, 1.4826, 1.4828, 1.4832, 1.4835, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849, 253MAX15CrNiSi 25 20, G-X40CrNiSi 25 12, G-X15CrNi 25 20",,,,,,http://www.ceweld.nl/en/product/310-tig
30,,A 5.9: ER 310L,,,"Common applications include heavily oxidizing media such as pipes in preheaters, coolers and condensers in the chemical industry.",,,0.2,GMAW-GTAW Solid wires,,,,,1.4842,,0.0,,,0,AW,,,,14343-A: W 25 20 L,,24.0,,,310L,,,,,,,20.0,"310L has very good resistance to intergranular corrosion, pitting and stress corrosion cracking due to its high chromium and nickel contents.",0,,,,,1.6,,Heat resistant stainless steels,,,,,,http://www.ceweld.nl/en/product/310l
31,22.0,A 5.9: ER 312,,,"Buffer layers before hardfacing, armor plate, exhaust systems, high, Manganese austenitic steel, heterogeneous welding, difficult to weld and unknown steels.",,,0.15,GMAW-GTAW Solid wires,,30.0,0.75,8556: SG-X10CrNi 30 9,1.4337,,0.0,,240.0,1,AW,50.0,,,14343-A: G (W) 29 9,,1.75,0.75,,312,,,9.25,,,,0.03,"Scale resistance up to 1150ºC, crack and wear resistant, suitable for rebuilding wornout parts. Excelent corrosion resistance against high temperature liquid acids.",0,,800.0,640.0,0.03,0.475,,"Buffer layers, armor plate, 409, 304, difficult to weld steels such as:, 25CrMo4, 42CrMo4, 50CrMo4, 42MnV7, 1.7218, 1.7225, 1.7228, 1.7223, AISI: 4130, 4140, 4150, C45, C60, tool steel repairs etc..",,,,,,http://www.ceweld.nl/en/product/312
32,22.0,A 5.9: ER 312,,,"Buffer layers before hardfacing, armor plate, exhaust systems, high, Manganese austenitic steel, heterogeneous welding, difficult to weld and unknown steels.",,,0.15,GMAW-GTAW Solid wires,,30.0,0.75,8556: SG-X10CrNi 30 9,1.4337,,0.0,,240.0,1,AW,50.0,,,14343-A: W 29 9,,1.75,0.75,,312 Tig,,,9.25,,,,0.03,"Scale resistance up to 1150ºC, crack and wear resistant, suitable for rebuilding wornout parts. Excelent corrosion resistance against high temperature liquid acids.",0,,800.0,640.0,0.03,0.475,,"Buffer layers, armor plate, 409, 304, difficult to weld steels such as:, 25CrMo4, 42CrMo4, 50CrMo4, 42MnV7, 1.7218, 1.7225, 1.7228, 1.7223, AISI: 4130, 4140, 4150, C45, C60, tool steel repairs etc..",,,,,,http://www.ceweld.nl/en/product/312-tig
33,35.0,A 5.9: ER 316L,,,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",,,0.035,GMAW-GTAW Solid wires,,17.0,,8556: SG X2 CrNiMo 19.12,1.443,,0.0,,,0,AW,120.0,,55.0,14343-A: G 19 12 3 L,,1.5,2.5,,316 L,,,12.5,,,,0.045,,0,,620.0,440.0,0.03,0.75,,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,,,,,http://www.ceweld.nl/en/product/316-l-0
34,35.0,A 5.9: ER 316L,,,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",,,0.03,GMAW-GTAW Solid wires,,19.0,,8556: SG X2 CrNiMo 19.12,1.443,,0.0,,,0,AW,120.0,,55.0,14343-A: W 19 12 3 L,,1.75,2.5,,316 L Tig,,,12.5,,,,0.03,,0,,620.0,440.0,0.03,0.475,,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,,,,,http://www.ceweld.nl/en/product/316-l-tig
35,37.0,A 5.9: ER 316LSi,,,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",,,0.02,GMAW-GTAW Solid wires,,18.8,,8556: SG X2 CrNiMo 19.12,1.443,,0.0,,,0,AW,120.0,,55.0,14343-A: G 19 12 3 L Si,,1.7,2.6,,316 LSi,,,12.5,,,,,"316LSi offers good general corrosion resistance, particularly to corrosion in acid and chlorinated environments. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting and results in a bright seam. ",0,,620.0,440.0,,0.8,,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,,,,,http://www.ceweld.nl/en/product/316-lsi
36,37.0,A 5.9: ER 316LSi,,,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",,,0.02,GMAW-GTAW Solid wires,,18.8,,8556: SG X2 CrNiMo 19.12,1.443,,0.0,,,0,AW,120.0,,55.0,14343-A: W 19 12 3 L Si,,1.7,2.6,,316 LSi Tig,,,12.5,,,,,"316LSi offers good general corrosion resistance, particularly to corrosion in acid and chlorinated environments. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting and results in a bright seam. ",0,,620.0,440.0,,0.8,,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,,,,,http://www.ceweld.nl/en/product/316-lsi-tig
37,35.0,A 5.9: ER  316H,,,"Used for welding steam piping, superheater headers, furnace parts, some gas and steam engine turbine components, in the petro-chemical industry, in fossil and nuclear fuelled power stations.",,,0.06,GMAW-GTAW Solid wires,,19.0,0.3,8556: ~SG X5CrNiMo 19 11,1.4403,,0.0,,,0,AW,,,,14343-A: G 19 12 3 H,,1.75,2.5,,316H,,,12.5,,,,0.03,"316H is designed for welding 316/316H austenitic stainless steels operating at high temperatures (50800°C) under long term creep conditions. This filler metal can also be used for welding 321/321H and 347/347H grades in high temperature structural service. This is particularly important in thick highly restrained weldments, since the possibility of premature service failure by intergranular HAZ cracking is reduced by using more ductile weld metal rather than 347H.",0,,650.0,460.0,0.02,0.475,,"AISI 316, 316H, 347, 347H, 321, 321H, CF10M, BS 316S51, 316S52, 316S53, 316C16, 316C71, UNS S31609",,,,,,http://www.ceweld.nl/en/product/316h
38,35.0,A 5.9: ER  316H,,,"Used for welding steam piping, superheater headers, furnace parts, some gas and steam engine turbine components, in the petro-chemical industry, in fossil and nuclear fuelled power stations.",,,0.06,GMAW-GTAW Solid wires,,19.0,0.03,8556: SG X5CrNiMo 19 11,1.4403,,0.0,,,0,AW,,,,14343-A: W 19 12 3 H,,1.75,2.5,,316H TIG,,,12.5,,,,0.03,"316H is designed for welding 316/316H austenitic stainless steels operating at high temperatures (50800°C) under long term creep conditions. This filler metal can also be used for welding 321/321H and 347/347H grades in high temperature structural service. This is particularly important in thick highly restrained weldments, since the possibility of premature service failure by intergranular HAZ cracking is reduced by using more ductile weld metal rather than 347H.",0,,650.0,460.0,0.02,0.475,,"AISI 316, 316H, 347, 347H, 321, 321H, CF10M, BS 316S51, 316S52, 316S53, 316C16, 316C71, UNS S31609",,,,,,http://www.ceweld.nl/en/product/316h-tig
39,35.0,AWS A5.9: ER 316LMn,,,"Particularly suited for corrosion conditions in urea synthesis plants for welding work on steel X 2 CrNiMo 18 12 and for over-lay claddings of Type 1.4455.. 
Well suited for joining and cladding applications with matching and similar austenitic CrNi(N) and CrNiMo(Mn,N) steels/cast steel grades.",,,0.0225,GMAW-GTAW Solid wires,,20.25,,,1.4455,,0.0,,,0,AW,,,75.0,ISO  14343-A: G 20 16 3 Mn N L     ,,7.25,3.0,0.16499999999999998,316LMn,,,15.75,,,,,"Stainless steel with excelent resistance to intercrystalline corrosion and wet corrosion up to 350°C (662 °F). Corrosioresistance is similar to locarbon CrNiMo(Mn,N) steels/cast steel grades.Seawater resistant, good resistance to nitric acid, selective attack max. 200 μm.Non magnetic (permeability in field of 8000 A/m 1.01 max.).",0,,650.0,430.0,,0.45,,"1.4311, 1.4406, 1.4429, 1.4439, 1.3951, 1.3952, 1.3953, 1.3965, 1.6902, 1.6903, 1.6905, 1.5637, 1.5680
X2CrNiMoN17-13-3, X5CrNiN 19-9, X1CrNiMoTi 18-13-2, X8Ni9, 10CrNiTi18-10 and cryogenic 3,5-5% Ni-steels",,,,,,http://www.ceweld.nl/en/product/316lmn
40,35.0,AWS A5.9: ER 316LMn,,,"Particularly suited for corrosion conditions in urea synthesis plants for welding work on steel X 2 CrNiMo 18 12 and for over-lay claddings of Type 1.4455.. Well suited for joining and cladding applications with matching and similar austenitic CrNi(N) and CrNiMo(Mn,N) steels/cast steel grades.",,,0.0225,GMAW-GTAW Solid wires,,20.25,,,1.4455,,0.0,,,0,AW,,,75.0,ISO  14343-A: W 20 16 3 Mn N L     ,,7.25,3.0,0.16499999999999998,316LMn TIG,,,15.75,,,,,"Stainless steel with excelent resistance to intercrystalline corrosion and wet corrosion up to 350°C (662 °F). Corrosioresistance is similar to locarbon CrNiMo(Mn,N) steels/cast steel grades.Seawater resistant, good resistance to nitric acid, selective attack max. 200 μm.Non magnetic (permeability in field of 8000 A/m 1.01 max.).",0,,650.0,430.0,,0.45,,"1.4311, 1.4406, 1.4429, 1.4439, 1.3951, 1.3952, 1.3953, 1.3965, 1.6902, 1.6903, 1.6905, 1.5637, 1.5680
X2CrNiMoN17-13-3, X5CrNiN 19-9, X1CrNiMoTi 18-13-2, X8Ni9, 10CrNiTi18-10 and cryogenic 3,5-5% Ni-steels",,,,,,http://www.ceweld.nl/en/product/316lmn-tig
41,35.0,A 5.9: ER 317L,,,"For welding stabilized and un-stabilized CrNiMo(N) type of steels with high corrosion resistance. Also suitable for dissimilar welds between steel and stainless steel or dissimilar stainless steels. 317L has good resistance to general corrosion and pitting due to its high content of molybdenum. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The alloy is used in severe corrosion conditions such as in the petrochemical, pulp, cotton and paper industries.
",,,0.03,GMAW-GTAW Solid wires,,18.5,,8556: SG-X2CrNiMo 19 14 4,1.4453,,0.0,,,0,AW,65.0,,,14343-A: G 19 14 4 L ,,3.5,4.5,0.12,317L,,,13.5,,,,,"Austenitic, non magnetic stainless steel alloy with high mechanical properties and excellent weldabillity, corrosion resistance is better than AISI 316 due to the high Mo. content. Suitable for use up to 400°C ",0,,580.0,320.0,,0.3,,"1.4439, 1.4429, 1.4438, 1.4583, X2CrNiMoN 17 13 5, X2CrNiMoN 17 13 3, X2CrNiMo 18 15 4, X10CrNiMoNb 18 12, 317LN, (TP)316LN, 317L, non magnetic, ferrite free.",,,,,,http://www.ceweld.nl/en/product/317l
42,35.0,A 5.9: ER 317L,,,"For welding stabilized and un-stabilized CrNiMo(N) type of steels with high corrosion resistance. Also suitable for dissimilar welds between steel and stainless steel or dissimilar stainless steels. 317L has good resistance to general corrosion and pitting due to its high content of molybdenum. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The alloy is used in severe corrosion conditions such as in the petrochemical, pulp, cotton and paper industries.
",,,0.03,GMAW-GTAW Solid wires,,18.5,,8556: SG-X2CrNiMo 19 14 4,1.4453,,0.0,,,0,AW,90.0,,,14343-A: W Z 19 14 4 L ,,3.5,4.5,0.12,317L Tig,,,13.5,,,,,"Austenitic, non magnetic stainless steel alloy with high mechanical properties and excellent weldabillity, corrosion resistance is better than AISI 316 due to the high Mo. content. Suitable for use up to 400°C ",0,,580.0,380.0,,0.3,,"1.4439, 1.4429, 1.4438, 1.4583, X2CrNiMoN 17 13 5, X2CrNiMoN 17 13 3, X2CrNiMo 18 15 4, X10CrNiMoNb 18 12, 317LN, (TP)316LN, 317L, non magnetic, ferrite free.",,,,,,http://www.ceweld.nl/en/product/317l-tig
43,35.0,A 5.9: ER 318 Si,,,Developed for welding stabilized CrNi(N) and CrNiMo(N) types.,,,0.05,GMAW-GTAW Solid wires,,19.0,,8556: SG-X5CrNiMoNb 19 12,1.4576,,0.0,,,0,AW,100.0,,70.0,14343-A: G 19 12 3 Nb Si,,1.5,2.8,,318 Si,12.0,,13.0,,,,,Excellent corrosion resistance as needed in chemical industry up to 400°C and good weldability with excellent flowing properties due to the increased Silicon content,0,,615.0,460.0,,0.8,,"

1.45831.44041.44011.45711.45801.45811.44371.4406
X102CrNiMoNb 18 12X2CrNiMo 17 12 2X4CrNiMo 17 12 2X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3G-X5CrNiMoNb 19 11 2G-X6CrNiMo 18 12X2CrNiMoN 17 12 3
316Cb(TP) 316L(TP) 316316 Ti316Cb--(TP)316LN                                        

",,,,,,http://www.ceweld.nl/en/product/318-si
44,35.0,A 5.9: ER 318 Si,,,Developed for Tig welding stabilized CrNi(N) and CrNiMo(N) types.,,,0.05,GMAW-GTAW Solid wires,,19.0,,8556: SG-X5CrNiMoNb 19 12,1.4576,,0.0,,,0,AW,100.0,,70.0,14343-A: W 19 12 3 Nb Si,,1.5,2.8,,318Si Tig,12.0,,13.0,,,,,Excellent corrosion resistance as needed in chemical industry up to 400°C and good weldability with excellent flowing properties due to the increased Silicon content,0,,615.0,460.0,,0.8,,"

1.45831.44041.44011.45711.45801.45811.44371.4406
X102CrNiMoNb 18 12X2CrNiMo 17 12 2X4CrNiMo 17 12 2X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3G-X5CrNiMoNb 19 11 2G-X6CrNiMo 18 12X2CrNiMoN 17 12 3
316Cb(TP) 316L(TP) 316316 Ti316Cb--(TP)316LN                                        


 ",,,,,,http://www.ceweld.nl/en/product/318si-tig
45,,A 5.9: ER 320LR,,,,,,,GMAW-GTAW Solid wires,,,,8556: SG X CrNiMo 20 33 3,2.4659999999999997,,0.0,,,0,,,,,14343-A: G 20 33 3,,,,,320,,,,,,,,"Alloy 320 was designed specifically to withstand sulfuric acid. Its nickel, chromium, molybdenum and copper levels all provide excellent general corrosion resistance. Restricted carbon plus columbium stabilization permits welded fabrications to be used in corrosive environments, normally without posweld heat treatment. At 33% nickel, Alloy 320 has practical immunity to chloride stress corrosion cracking. This alloy is often chosen to solve SCC problems, which may occur with 316L stainless",1,,,,,,,"Alloy 20, Carpenter 20, 320",,,,,,http://www.ceweld.nl/en/product/320
46,15.0,A 5.9: ER 327 (~329),,,"Cap layers for joining refractory Cr-Al-Si steels, cladding corrosion resistant overlays, cladding heat resistant overlays up to 1100ºC, cladding components in a sulphurous environment.",,,0.1,GMAW-GTAW Solid wires,,25.5,,8556: X 12 CrNi 25 4,1.482,,0.0,,,0,,50.0,,,14343-A: G 25 4,,1.75,,,327,,,5.0,,,,,"High chromiualloyed welding wire (ER 32ER 329) based on a 25% Chromium and 4% Nickel deposit for cladding and joining components against corrosion, higheat and wear resistance Excellent weld metal quality and ray soundness, stable arc at high currents and good machinable deposit.",0,,650.0,450.0,,0.6,,"

W.Nr:1.47101.47451.47121.47621.47131.47731.47221.4776

EN ASTM/ACIG-X30CrSi6G-X40CrSi23 TP433X10CrSi6 502X10CrAl24 TP443X10CrAl7 502X8Cr30X10CrSi13G-X40CrSi29

W.Nr:1.47241.48201.47291.48211.47401.48221.47421.4823

EN ASTM/ACIX10CrAl13 TP405-CA15G-X12 CrSi 26 5G-X40CrSi13X20 CrNiSi 25 4 TP329G-X40CrSi17G-X40CrNi 25 4 TP329X10CrAl18 430B-TP430G-X40CrNiSi 27 4 TP329HC



 ",,,,,,http://www.ceweld.nl/en/product/327
47,15.0,A 5.9: ER 327 (~329),,,"Cap layers for joining refractory Cr-Al-Si steels, cladding corrosion resistant overlays, cladding heat resistant overlays up to 1100ºC, cladding components in a sulphurous environment.",,,0.1,GMAW-GTAW Solid wires,,25.5,,8556: X 12 CrNi 25 4,1.482,,0.0,,,0,,50.0,,,14343-A: W 25 4,,1.75,,,327 Tig,,,5.0,,,,,"High chromiualloyed welding wire (ER 32ER 329) based on a 25% Chromium and 4% Nickel deposit for cladding and joining components against corrosion, higheat and wear resistance Excellent weld metal quality and ray soundness, stable arc at high currents and good machinable deposit.",0,,650.0,450.0,,0.6,,"

W.Nr:1.47101.47451.47121.47621.47131.47731.47221.4776

EN ASTM/ACIG-X30CrSi6G-X40CrSi23 TP433X10CrSi6 502X10CrAl24 TP443X10CrAl7 502X8Cr30X10CrSi13G-X40CrSi29

W.Nr:1.47241.48201.47291.48211.47401.48221.47421.4823

EN ASTM/ACIX10CrAl13 TP405-CA15G-X12 CrSi 26 5G-X40CrSi13X20 CrNiSi 25 4 TP329G-X40CrSi17G-X40CrNi 25 4 TP329X10CrAl18 430B-TP430G-X40CrNiSi 27 4 TP329HC



 ",,,,,,http://www.ceweld.nl/en/product/327-tig
48,30.0,A 5.9: ER 347 Si,,,For welding stainless austenitic steels that are exposed to working temperatures up to 400°C.,,,0.04,GMAW-GTAW Solid wires,,19.5,,8556: SG X5CrNiNb 19 9,1.4551,,0.0,,,0,AW,80.0,,40.0,14343-A: G 19 9 Nb Si,,1.9,,,347 Si,,12.0,10.0,,,,,"The weld deposit is scalresistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish.
Structure: Austenite with delta ferrite",0,,590.0,3.0,,0.7,,"

1.45411.45501.45521.43191.43061.4306 
X 6 CrNiTi 18 10X 6 CrNiNb 18 10G-X 5 CrNiNb 18 9X 5 CrNi 18 7X 2 CrNi 19 11G-X 2 CrNi 18 9 
1.43011.43031.43081.4310  1.4312-
X 5 CrNi 18 10X 5 CrNi 18 12G-X 6 CrNi 18 9X 12 CrNi 17 7G-X 10 CrNi 18 8-


AISI: 321, 347",,,,,,http://www.ceweld.nl/en/product/347-si
49,30.0,A 5.9: ER 347 Si,,,For welding stainless austenitic steels that are exposed to working temperatures up to 400°C.,,,0.04,GMAW-GTAW Solid wires,,19.5,,8556: SG X5CrNiNb 19 9,1.4551,,0.0,,,0,AW,80.0,,40.0,14343-A: W 19 9 Nb Si,,1.9,,,347 Si Tig,,12.0,10.0,,,,,"The weld deposit is scalresistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish.
Structure: Austenite with delta ferrite",0,,590.0,3.0,,0.7,,"

1.45411.45501.45521.43191.43061.4306 
X 6 CrNiTi 18 10X 6 CrNiNb 18 10G-X 5 CrNiNb 18 9X 5 CrNi 18 7X 2 CrNi 19 11G-X 2 CrNi 18 9
1.43011.43031.43081.4310  1.4312-
X 5 CrNi 18 10X 5 CrNi 18 12G-X 6 CrNi 18 9X 12 CrNi 17 7G-X 10 CrNi 18 8-


AISI: 321, 347",,,,,,http://www.ceweld.nl/en/product/347-si-tig
