,Item Brand,Item Name,Item Type,Special Category,"C(Min,Max)%",CVN Impact,CVN Temp C,"Cr(Min,Max)%",Elong %,Fillet Weld Test,Hydrogen Ml/100gm,"Mn(Min,Max)%",Mn+Cr+Ni+Mo+V,"Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%",Radiography,"S (Min,Max)%","Si (Min,Max)%",Test Condition1,Test Condition2 - EN,"UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",Test Cond as Per,CVN Impact - EN,CVN Temp C - EN,Special Prop.,"Fe(Min,Max)%","Nb(Min,Max)",Ti (Min Max%),UTS,CVN Avg.,"Al(Min, Max)%",PWHT,"Zr (Min, Max%)","N (Min,Max)%","Cb (Min,Max%)`",FG Batch,"Co(Min,Max)%","Nickel(Min,Max%)",Other Elements Total,"W(Min, Max) %",Physical Appearance,Elong % I,"Nb(Min,Max)%","PB(Min, Max)%",Hardness,Special Prop 1,Special Prop 2,Special Prop 3,W,Hardness ParmeterI,Special Prop 4,Special Prop 6,Special Prop 7,Special Prop 5,Special Prop 8,"Boron (Min,Max%)","NB+TA(Min,Max%)",Sn,Hardness Parmeter,BaCo3,"UTS(MPa)(Min,Max%)",YS MPa,Elong % - EN,PWHT - EN,"UTS(Kg/mm2)(Min,Max%-EN",YS(Kgf/mm2)-EN,"APP.DENSITY(MIN,MAX)",Cobalt,Flow Rate (Hall),Mesh Size(BS),As,Sb,Bend Test,"IR (Min,Max)%","Lead (Min,Max)",Ferrite (Fn),"TI(Min,Max%)"
32,    Supratherme (spl),SUPRATHERME (SPL) 3.15 X 450 (5KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,    Supratherme (spl),SUPRATHERME (SPL) 3.15 X 450(4.5KG),U1 - Electrodes - MS,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,    Supratherme (spl),SUPRATHERME (SPL) 3.20 X 450 (2KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,    Supratherme (spl),SUPRATHERME (SPL) 3.20 X 450 (5KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,    Supratherme (spl),SUPRATHERME (SPL) 4.00 X 450 (2KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,    Supratherme (spl),SUPRATHERME (SPL) 4.00 X 450 (5KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,    Supratherme (spl),SUPRATHERME (SPL) 4.00 X 450(30),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,    Supratherme (spl),SUPRATHERME (SPL) 4.00 X 450(4.5KG),U1 - Electrodes - MS,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,    Supratherme (spl),SUPRATHERME (SPL) 5.00 X 450 (2KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,    Supratherme (spl),SUPRATHERME (SPL) 5.00 X 450(5KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,    Supratherme (spl),SUPRATHERME(SPL) 2.50 X 350(150PCS),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,    Supratherme (spl),SUPRATHERME(SPL) 2.50 X 350(80PCS),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,    Supratherme (spl),SUPRATHERME(SPL) 3.15 X 450(100PCS),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,    Supratherme (spl),SUPRATHERME(SPL) 4.00 X 450(70PCS),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,    Supratherme (spl),SUPRATHERME(SPL) 5.00 X 450(50PCS),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",27 Joules    (Min),-45.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,EN ISO 2560-A E 42 4 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",AWS/SFA-5.1 : E 7018-1,47 J (Min),-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,    Supratherme-R,SUPRATHERME-R 3.15 X 450,U1 - Electrodes - MS,7018.0,"        0.000,        0.120",,-20.0,"        0.000,        0.200","       26.000,        0.000",,,"        0.00,        1.60",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      510.000,        0.000","        0.000,        0.300","      350.000,        0.000",,,  IS: 814-2004 : EB 5326 H2JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,    Supratherme-R,SUPRATHERME-R 4.00 X 450,U1 - Electrodes - MS,7018.0,"        0.000,        0.120",,-20.0,"        0.000,        0.200","       26.000,        0.000",,,"        0.00,        1.60",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      510.000,        0.000","        0.000,        0.300","      350.000,        0.000",,,  IS: 814-2004 : EB 5326 H2JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,    Supratherme-R,SUPRATHERME-R 6.30 X 450,U1 - Electrodes - MS,7018.0,"        0.000,        0.120",,-20.0,"        0.000,        0.200","       26.000,        0.000",,,"        0.00,        1.60",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      510.000,        0.000","        0.000,        0.300","      350.000,        0.000",,,  IS: 814-2004 : EB 5326 H2JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,    Norma -V,NORMA-V 2.50 X 350(140),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,    Norma -V,NORMA-V 3.15 X 350 (4KG),U2 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,    Norma -V,NORMA-V 3.15 X 350(85),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,    Norma -V,NORMA-V 3.15 X 350(90),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.120", 47 Joules(min),0.0,"        0.000,        0.200","       22.000,        0.000",,,"        0.000,        0.750",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.045",Satisfactory,"        0.000,        0.045","        0.000,        0.400",AWS/SFA-5.1 : E 6013,,"      410.000,      540.000","        0.000,        0.080","      330.000,        0.000",,,IS 814 : 2004  ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,    Norma -V,NORMA-V 3.15 X 450 (5KG),U2 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,    Norma -V,NORMA-V 3.15 X 450(85),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,    Norma -V,NORMA-V 3.15 X 450(90),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,    Norma -V,NORMA-V 3.20 X 450 (5KG),U2 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.120", 47 Joules(min),0.0,"        0.000,        0.200","       22.000,        0.000",,,"        0.000,        0.750",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.045",Satisfactory,"        0.000,        0.045","        0.000,        0.400",AWS/SFA-5.1 : E 6013,,"      410.000,      540.000","        0.000,        0.080","      330.000,        0.000",,,IS 814 : 2004  ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,    Norma -V,NORMA-V 4.00 X 450 (5KG),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,    Norma -V,NORMA-V 4.00 X 450(55),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,    Norma -V,NORMA-V 4.00 X 450(60),U5 - Electrodes - MS,  6013 (NORMA-V),"        0.000,        0.200",47,0.0,"        0.000,        0.200","       17.000,       27.000",,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",, Satisfactory,,"        0.000,        1.000",AWS/SFA-5.1 : E 6013,,"      430.000,        0.000",,"      330.000,        0.000",,, IS: 814-2004 ER 4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,    ALPHA 6013,ALPHA 6013 3.20 X 450 (5KG),U2 - Electrodes - MS,  6013 (REST),"        0.000,        0.120", 47 Joules(min),0.0,"        0.000,        0.200","       17.000,        0.000",Satisfactory,,"        0.000,        0.650",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.350",AWS/SFA-5.1 : E 6013,,"      410.000,      540.000","        0.000,        0.080","      330.000,        0.000",,,,,,IS:814-2004 ER 4222 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,    Exobel,EXOBEL 2.50 X 350,U2 - Electrodes - MS,  6013 (REST),"        0.000,        0.200",                 47Joule (Min),0.0,"        0.000,        0.200","       17.000,        0.000", Satisfactory,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",,Satisfactory,,"        0.000,        1.000",  AWS/SFA-5.1 : E 6013,,"      430.000,        0.000","        0.000,        0.080","      330.000,        0.000",,,  IS 814:2004 : ERR4222X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,    Exobel,EXOBEL 3.15 X 450,U2 - Electrodes - MS,  6013 (REST),"        0.000,        0.200",  at 0,,"        0.000,        0.200","       17.000,        0.000", Satisfactory,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",,Satisfactory,,"        0.000,        1.000", IS 814:2004 : ERR4222X,,"      430.000,        0.000","        0.000,        0.080","      330.000,        0.000",,,AWS/SFA-5.1 : E 6013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,    Exobel,EXOBEL 4.00 X 450,U2 - Electrodes - MS,  6013 (REST),"        0.000,        0.200",  at 0,,"        0.000,        0.200","       17.000,        0.000", Satisfactory,,"        0.000,        1.200",,"        0.000,        0.300",,"        0.000,        0.300",,Satisfactory,,"        0.000,        1.000", IS 814:2004 : ERR4222X,,"      430.000,        0.000","        0.000,        0.080","      330.000,        0.000",,,AWS/SFA-5.1 : E 6013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
