,A5,AWS,Applications,Category,DIN,DIN_W,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Name,Others,Properties,Redrying_Temp,Rm,Rp0,Suitable_For,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
31,22.0,A 5.9: ER 312,"Buffer layers before hardfacing, armor plate, exhaust systems, high, Manganese austenitic steel, heterogeneous welding, difficult to weld and unknown steels.",2.0,8556: SG-X10CrNi 30 9,1.4337,240,AW,50.0,,,14343-A: G (W) 29 9,312,,"Scale resistance up to 1150ºC, crack and wear resistant, suitable for rebuilding wornout parts. Excelent corrosion resistance against high temperature liquid acids.",,800.0,640.0,"Buffer layers, armor plate, 409, 304, difficult to weld steels such as:, 25CrMo4, 42CrMo4, 50CrMo4, 42MnV7, 1.7218, 1.7225, 1.7228, 1.7223, AISI: 4130, 4140, 4150, C45, C60, tool steel repairs etc..",0.75,1.75,,0.475,0.15,30.0,0.75,9.25,0.03,0.03,,,,,,,,,,,,,,,,,
32,22.0,A 5.9: ER 312,"Buffer layers before hardfacing, armor plate, exhaust systems, high, Manganese austenitic steel, heterogeneous welding, difficult to weld and unknown steels.",2.0,8556: SG-X10CrNi 30 9,1.4337,240,AW,50.0,,,14343-A: W 29 9,312 Tig,,"Scale resistance up to 1150ºC, crack and wear resistant, suitable for rebuilding wornout parts. Excelent corrosion resistance against high temperature liquid acids.",,800.0,640.0,"Buffer layers, armor plate, 409, 304, difficult to weld steels such as:, 25CrMo4, 42CrMo4, 50CrMo4, 42MnV7, 1.7218, 1.7225, 1.7228, 1.7223, AISI: 4130, 4140, 4150, C45, C60, tool steel repairs etc..",0.75,1.75,,0.475,0.15,30.0,0.75,9.25,0.03,0.03,,,,,,,,,,,,,,,,,
33,35.0,A 5.9: ER 316L,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",2.0,8556: SG X2 CrNiMo 19.12,1.443,,AW,120.0,,55.0,14343-A: G 19 12 3 L,316 L,,,,620.0,440.0,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,1.5,,0.75,0.035,17.0,2.5,12.5,0.045,0.03,,,,,,,,,,,,,,,,,
34,35.0,A 5.9: ER 316L,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",2.0,8556: SG X2 CrNiMo 19.12,1.443,,AW,120.0,,55.0,14343-A: W 19 12 3 L,316 L Tig,,,,620.0,440.0,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,1.75,,0.475,0.03,19.0,2.5,12.5,0.03,0.03,,,,,,,,,,,,,,,,,
35,37.0,A 5.9: ER 316LSi,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",2.0,8556: SG X2 CrNiMo 19.12,1.443,,AW,120.0,,55.0,14343-A: G 19 12 3 L Si,316 LSi,,"316LSi offers good general corrosion resistance, particularly to corrosion in acid and chlorinated environments. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting and results in a bright seam. ",,620.0,440.0,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,1.7,,0.8,0.02,18.8,2.6,12.5,,,,,,,,,,,,,,,,,,,
36,37.0,A 5.9: ER 316LSi,"The alloy is widely used in the chemical and food-processing industries, as well as in shipbuilding and various types of architectural structure.
",2.0,8556: SG X2 CrNiMo 19.12,1.443,,AW,120.0,,55.0,14343-A: W 19 12 3 L Si,316 LSi Tig,,"316LSi offers good general corrosion resistance, particularly to corrosion in acid and chlorinated environments. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting and results in a bright seam. ",,620.0,440.0,"


1.4583 1.44351.44361.44041.44061.44081.44011.45711.45801.4406

X102CrNiMoNb 18 12X2CrNiMo 18 14 3 (TP)X4CrNiMo 17 13 3X2CrNiMo 17 12 2 (TP)-X 5 CrNiMo 19 11 2X4CrNiMo 17 12 2 (TP)X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3X2CrNiMoN 17 12 3 (TP)
316Cb316L-316L316LN316H316316 Ti316Cb316LN
UNS S31640..UNS S31603UNS S31653.UNS S31600UNS S31635. 


 ",,1.7,,0.8,0.02,18.8,2.6,12.5,,,,,,,,,,,,,,,,,,,
37,35.0,A 5.9: ER  316H,"Used for welding steam piping, superheater headers, furnace parts, some gas and steam engine turbine components, in the petro-chemical industry, in fossil and nuclear fuelled power stations.",2.0,8556: ~SG X5CrNiMo 19 11,1.4403,,AW,,,,14343-A: G 19 12 3 H,316H,,"316H is designed for welding 316/316H austenitic stainless steels operating at high temperatures (500-800°C) under long term creep conditions. This filler metal can also be used for welding 321/321H and 347/347H grades in high temperature structural service. This is particularly important in thick highly restrained weldments, since the possibility of premature service failure by intergranular HAZ cracking is reduced by using more ductile weld metal rather than 347H.",,650.0,460.0,"AISI 316, 316H, 347, 347H, 321, 321H, CF10M, BS 316S51, 316S52, 316S53, 316C16, 316C71, UNS S31609",0.3,1.75,,0.475,0.06,19.0,2.5,12.5,0.03,0.02,,,,,,,,,,,,,,,,,
38,35.0,A 5.9: ER  316H,"Used for welding steam piping, superheater headers, furnace parts, some gas and steam engine turbine components, in the petro-chemical industry, in fossil and nuclear fuelled power stations.",2.0,8556: SG X5CrNiMo 19 11,1.4403,,AW,,,,14343-A: W 19 12 3 H,316H TIG,,"316H is designed for welding 316/316H austenitic stainless steels operating at high temperatures (500-800°C) under long term creep conditions. This filler metal can also be used for welding 321/321H and 347/347H grades in high temperature structural service. This is particularly important in thick highly restrained weldments, since the possibility of premature service failure by intergranular HAZ cracking is reduced by using more ductile weld metal rather than 347H.",,650.0,460.0,"AISI 316, 316H, 347, 347H, 321, 321H, CF10M, BS 316S51, 316S52, 316S53, 316C16, 316C71, UNS S31609",0.03,1.75,,0.475,0.06,19.0,2.5,12.5,0.03,0.02,,,,,,,,,,,,,,,,,
39,35.0,AWS A5.9: ER 316LMn,"Particularly suited for corrosion conditions in urea synthesis plants for welding work on steel X 2 CrNiMo 18 12 and for over-lay claddings of Type 1.4455.. 
Well suited for joining and cladding applications with matching and similar austenitic CrNi(N) and CrNiMo(Mn,N) steels/cast steel grades.",2.0,,1.4455,,AW,,,75.0,ISO  14343-A: G 20 16 3 Mn N L     ,316LMn,,"Stainless steel with excelent resistance to intercrystalline corrosion and wet corrosion up to 350°C (662 °F). Corrosion-resistance is similar to low-carbon CrNiMo(Mn,N) steels/cast steel grades.Seawater resistant, good resistance to nitric acid, selective attack max. 200 μm.Non magnetic (permeability in field of 8000 A/m 1.01 max.).",,650.0,430.0,"1.4311, 1.4406, 1.4429, 1.4439, 1.3951, 1.3952, 1.3953, 1.3965, 1.6902, 1.6903, 1.6905, 1.5637, 1.5680
X2CrNiMoN17-13-3, X5CrNiN 19-9, X1CrNiMoTi 18-13-2, X8Ni9, 10CrNiTi18-10 and cryogenic 3,5-5% Ni-steels",,7.25,,0.45,0.0225,20.25,3.0,15.75,,,,0.16499999999999998,,,,,,,,,,,,,,,
40,35.0,AWS A5.9: ER 316LMn,"Particularly suited for corrosion conditions in urea synthesis plants for welding work on steel X 2 CrNiMo 18 12 and for over-lay claddings of Type 1.4455.. Well suited for joining and cladding applications with matching and similar austenitic CrNi(N) and CrNiMo(Mn,N) steels/cast steel grades.",2.0,,1.4455,,AW,,,75.0,ISO  14343-A: W 20 16 3 Mn N L     ,316LMn TIG,,"Stainless steel with excelent resistance to intercrystalline corrosion and wet corrosion up to 350°C (662 °F). Corrosion-resistance is similar to low-carbon CrNiMo(Mn,N) steels/cast steel grades.Seawater resistant, good resistance to nitric acid, selective attack max. 200 μm.Non magnetic (permeability in field of 8000 A/m 1.01 max.).",,650.0,430.0,"1.4311, 1.4406, 1.4429, 1.4439, 1.3951, 1.3952, 1.3953, 1.3965, 1.6902, 1.6903, 1.6905, 1.5637, 1.5680
X2CrNiMoN17-13-3, X5CrNiN 19-9, X1CrNiMoTi 18-13-2, X8Ni9, 10CrNiTi18-10 and cryogenic 3,5-5% Ni-steels",,7.25,,0.45,0.0225,20.25,3.0,15.75,,,,0.16499999999999998,,,,,,,,,,,,,,,
41,35.0,A 5.9: ER 317L,"For welding stabilized and un-stabilized CrNiMo(N) type of steels with high corrosion resistance. Also suitable for dissimilar welds between steel and stainless steel or dissimilar stainless steels. 317L has good resistance to general corrosion and pitting due to its high content of molybdenum. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The alloy is used in severe corrosion conditions such as in the petrochemical, pulp, cotton and paper industries.
",2.0,8556: SG-X2CrNiMo 19 14 4,1.4453,,AW,65.0,,,14343-A: G 19 14 4 L ,317L,,"Austenitic, non magnetic stainless steel alloy with high mechanical properties and excellent weldabillity, corrosion resistance is better than AISI 316 due to the high Mo. content. Suitable for use up to 400°C ",,580.0,320.0,"1.4439, 1.4429, 1.4438, 1.4583, X2CrNiMoN 17 13 5, X2CrNiMoN 17 13 3, X2CrNiMo 18 15 4, X10CrNiMoNb 18 12, 317LN, (TP)316LN, 317L, non magnetic, ferrite free.",,3.5,,0.3,0.03,18.5,4.5,13.5,,,,0.12,,,,,,,,,,,,,,,
42,35.0,A 5.9: ER 317L,"For welding stabilized and un-stabilized CrNiMo(N) type of steels with high corrosion resistance. Also suitable for dissimilar welds between steel and stainless steel or dissimilar stainless steels. 317L has good resistance to general corrosion and pitting due to its high content of molybdenum. The alloy has a low carbon content which makes it particularly recommended when there is a risk of intergranular corrosion. The alloy is used in severe corrosion conditions such as in the petrochemical, pulp, cotton and paper industries.
",2.0,8556: SG-X2CrNiMo 19 14 4,1.4453,,AW,90.0,,,14343-A: W Z 19 14 4 L ,317L Tig,,"Austenitic, non magnetic stainless steel alloy with high mechanical properties and excellent weldabillity, corrosion resistance is better than AISI 316 due to the high Mo. content. Suitable for use up to 400°C ",,580.0,380.0,"1.4439, 1.4429, 1.4438, 1.4583, X2CrNiMoN 17 13 5, X2CrNiMoN 17 13 3, X2CrNiMo 18 15 4, X10CrNiMoNb 18 12, 317LN, (TP)316LN, 317L, non magnetic, ferrite free.",,3.5,,0.3,0.03,18.5,4.5,13.5,,,,0.12,,,,,,,,,,,,,,,
43,35.0,A 5.9: ER 318 Si,Developed for welding stabilized CrNi(N) and CrNiMo(N) types.,2.0,8556: SG-X5CrNiMoNb 19 12,1.4576,,AW,100.0,,70.0,14343-A: G 19 12 3 Nb Si,318 Si,,Excellent corrosion resistance as needed in chemical industry up to 400°C and good weldability with excellent flowing properties due to the increased Silicon content,,615.0,460.0,"

1.45831.44041.44011.45711.45801.45811.44371.4406
X102CrNiMoNb 18 12X2CrNiMo 17 12 2X4CrNiMo 17 12 2X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3G-X5CrNiMoNb 19 11 2G-X6CrNiMo 18 12X2CrNiMoN 17 12 3
316Cb(TP) 316L(TP) 316316 Ti316Cb--(TP)316LN                                        

",,1.5,,0.8,0.05,19.0,2.8,13.0,,,,,,12.0,,,,,,,,,,,,,
44,35.0,A 5.9: ER 318 Si,Developed for Tig welding stabilized CrNi(N) and CrNiMo(N) types.,2.0,8556: SG-X5CrNiMoNb 19 12,1.4576,,AW,100.0,,70.0,14343-A: W 19 12 3 Nb Si,318Si Tig,,Excellent corrosion resistance as needed in chemical industry up to 400°C and good weldability with excellent flowing properties due to the increased Silicon content,,615.0,460.0,"

1.45831.44041.44011.45711.45801.45811.44371.4406
X102CrNiMoNb 18 12X2CrNiMo 17 12 2X4CrNiMo 17 12 2X6CrNiMo 17 12 2X6CrNiMoNb 17 12 3G-X5CrNiMoNb 19 11 2G-X6CrNiMo 18 12X2CrNiMoN 17 12 3
316Cb(TP) 316L(TP) 316316 Ti316Cb--(TP)316LN                                        


 ",,1.5,,0.8,0.05,19.0,2.8,13.0,,,,,,12.0,,,,,,,,,,,,,
45,,A 5.9: ER 320LR,,2.0,8556: SG X CrNiMo 20 33 3,2.466,,,,,,14343-A: G 20 33 3,320,,"Alloy 320 was designed specifically to withstand sulfuric acid. Its nickel, chromium, molybdenum and copper levels all provide excellent general corrosion resistance. Restricted carbon plus columbium stabilization permits welded fabrications to be used in corrosive environments, normally without post-weld heat treatment. At 33% nickel, Alloy 320 has practical immunity to chloride stress corrosion cracking. This alloy is often chosen to solve SCC problems, which may occur with 316L stainless",,,,"Alloy 20, Carpenter 20, 320",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,15.0,A 5.9: ER 327 (~329),"Cap layers for joining refractory Cr-Al-Si steels, cladding corrosion resistant overlays, cladding heat resistant overlays up to 1100ºC, cladding components in a sulphurous environment.",2.0,8556: X 12 CrNi 25 4,1.482,,M11 - M12,50.0,,,14343-A: G 25 4,327,,"High chromium-alloyed welding wire (ER 327-ER 329) based on a 25% Chromium and 4% Nickel deposit for cladding and joining components against corrosion, high-heat and wear resistance Excellent weld metal quality and X-ray soundness, stable arc at high currents and good machinable deposit.",,650.0,450.0,"

W.Nr:1.47101.47451.47121.47621.47131.47731.47221.4776

EN ASTM/ACIG-X30CrSi6G-X40CrSi23 TP433X10CrSi6 502X10CrAl24 TP443X10CrAl7 502X8Cr30X10CrSi13G-X40CrSi29

W.Nr:1.47241.48201.47291.48211.47401.48221.47421.4823

EN ASTM/ACIX10CrAl13 TP405-CA15G-X12 CrSi 26 5G-X40CrSi13X20 CrNiSi 25 4 TP329G-X40CrSi17G-X40CrNi 25 4 TP329X10CrAl18 430B-TP430G-X40CrNiSi 27 4 TP329HC



 ",,1.75,,0.6,0.1,25.5,,5.0,,,,,,,,,,,,,,,,,,,
47,15.0,A 5.9: ER 327 (~329),"Cap layers for joining refractory Cr-Al-Si steels, cladding corrosion resistant overlays, cladding heat resistant overlays up to 1100ºC, cladding components in a sulphurous environment.",2.0,8556: X 12 CrNi 25 4,1.482,,I1,50.0,,,14343-A: W 25 4,327 Tig,,"High chromium-alloyed welding wire (ER 327-ER 329) based on a 25% Chromium and 4% Nickel deposit for cladding and joining components against corrosion, high-heat and wear resistance Excellent weld metal quality and X-ray soundness, stable arc at high currents and good machinable deposit.",,650.0,450.0,"

W.Nr:1.47101.47451.47121.47621.47131.47731.47221.4776

EN ASTM/ACIG-X30CrSi6G-X40CrSi23 TP433X10CrSi6 502X10CrAl24 TP443X10CrAl7 502X8Cr30X10CrSi13G-X40CrSi29

W.Nr:1.47241.48201.47291.48211.47401.48221.47421.4823

EN ASTM/ACIX10CrAl13 TP405-CA15G-X12 CrSi 26 5G-X40CrSi13X20 CrNiSi 25 4 TP329G-X40CrSi17G-X40CrNi 25 4 TP329X10CrAl18 430B-TP430G-X40CrNiSi 27 4 TP329HC



 ",,1.75,,0.6,0.1,25.5,,5.0,,,,,,,,,,,,,,,,,,,
48,30.0,A 5.9: ER 347 Si,For welding stainless austenitic steels that are exposed to working temperatures up to 400°C.,2.0,8556: SG X5CrNiNb 19 9,1.4551,,AW,80.0,,40.0,14343-A: G 19 9 Nb Si,347 Si,,"The weld deposit is scale-resistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish.
Structure: Austenite with delta ferrite",,590.0,3.0,"

1.45411.45501.45521.43191.43061.4306 
X 6 CrNiTi 18 10X 6 CrNiNb 18 10G-X 5 CrNiNb 18 9X 5 CrNi 18 7X 2 CrNi 19 11G-X 2 CrNi 18 9 
1.43011.43031.43081.4310  1.4312-
X 5 CrNi 18 10X 5 CrNi 18 12G-X 6 CrNi 18 9X 12 CrNi 17 7G-X 10 CrNi 18 8-


AISI: 321, 347",,1.9,,0.7,0.04,19.5,,10.0,,,,,,,,,12.0,,,,,,,,,,
49,30.0,A 5.9: ER 347 Si,For welding stainless austenitic steels that are exposed to working temperatures up to 400°C.,2.0,8556: SG X5CrNiNb 19 9,1.4551,,AW,80.0,,40.0,14343-A: W 19 9 Nb Si,347 Si Tig,,"The weld deposit is scale-resistant up to approx. 800°C in normal atmosphere and oxidizing gases. The weld deposit is capable of taking a high polish.
Structure: Austenite with delta ferrite",,590.0,3.0,"

1.45411.45501.45521.43191.43061.4306 
X 6 CrNiTi 18 10X 6 CrNiNb 18 10G-X 5 CrNiNb 18 9X 5 CrNi 18 7X 2 CrNi 19 11G-X 2 CrNi 18 9
1.43011.43031.43081.4310  1.4312-
X 5 CrNi 18 10X 5 CrNi 18 12G-X 6 CrNi 18 9X 12 CrNi 17 7G-X 10 CrNi 18 8-


AISI: 321, 347",,1.9,,0.7,0.04,19.5,,10.0,,,,,,,,,12.0,,,,,,,,,,
50,8.0,A 5.9:,Joining and cladding high heat resistant NiCr-steels of the same kind and Cast steels in a low sulphourus invironment.,2.0,,1.4889,,AW,,,,14343-A: GZ 35 45 Nb,35-45Nb,,,,660.0,460.0,"(centrifugal- and mould cast parts), such as G X-45NiCrNbSiTi 45 35.",,0.8,,1.4,0.42,35.0,,45.0,,,,,16.189999999999984,1.1,0.09,,,,,,,,,,,,
51,8.0,A 5.9:,Joining and cladding high heat resistant NiCr-steels of the same kind and Cast steels in a low sulphourus invironment.,2.0,,1.4889,,AW,,,,14343-A: W 35 45 Nb,35-45Nb Tig,,"The weld deposit is applicable in a low sulphur, carbon enriching atmosphere up to 1175° C and has an excellent creep strength and a good resistance against carburization and oxidation.",,660.0,460.0,"(centrifugal- and mould cast parts), such as G X-45NiCrNbSiTi 45 35.",,0.8,,1.4,0.42,35.0,,45.0,,,,,16.189999999999984,1.1,0.09,,,,,,,,,,,,
52,15.0,A 5.4: E 410-25,"This alloy can be used for welding martensitic-ferritic steels , steel castings and for hardfacing exhaust valves.",3.0,1913: E 4009,1.4009,180,Tempered,,,,3581-A: E 13 B 42,4009 Ti,,,320ºC/2hr,650.0,450.0,"X6Cr13 -1.4000, X6CrAl13 - 1.4002, X10Cr13 - 1.4006, X15Cr13 - 1.4024, Steel castings: G-X10Cr13 – 1.4006, martensitic steel, cast steel, cladding exhaust valves",,0.7,,,0.1,13.0,,,,,,,86.2,,,,,,,,,,,,,,
53,,A 5.1: E 430-15,Joining and cladding 17% Chromium alloys and cladding components where heat and corrosion resistance is required. The weld deposit can sustain working temperatures up to 450° C. and will offer scale resistance up to 950° C. Preheating is recommended at 250° C and stress relieving at 800° C in case it is allowed for the base metal,3.0,E 4015 HL-Kb,1.4015,240 HB 30,AW,,,,3581-A: E 17 R 52,4015 HL-Kb,,High deposition rate and excellent weldability on DC+. ,300?2hr,,,"1.4057, 1.4740, 1.4742, 1.4059, 1.4741, Steam valves, pumps etc",,0.7,,,0.1,17.0,1.0,0.5,,,,,,,,,,,,,,,,,,,
54,,A 5.9: ER 409Nb,Used to weld Type 409 and 409Ti base materials,2.0,,1.4009,,AW,,,,14343-B: SS 409 Nb,409Nb Tig,,,,,,409 and 409Ti materials,0.04,0.8,,1.0,0.08,12.0,0.5,0.6,0.04,0.03,,,,0.075,,,,,,,,,,,,,
55,,A 5.9: ER 410,"Overlay of carbon and low-alloy steels for resistance to corrosion, erosion, or abrasion. 410 has higher hardness and is used in valve seats to obtain better galling resistance. Normally to obtain adequate ductility, preheat and post-weld heat-treatment are required.",2.0,8556: SG-X 8 Cr 14,1.4009,35 HRc,AW,,,,14343-A: G Z 13,410,,410 is a martensitic stainless steel that is heat-treatable. It has a nominal weld metal composition of 12% Chromium. These weld deposits are air-hardenable that can normally be heat-treated after welding.,,,,"For welding or repairing 12% Cr air-hardenable stainless steels like types 410, 416, 420, 431 and cast C-15, W.Nr: 1.4008, 1.4000, 1.4006, X8Cr14, X6Cr13, X10Cr13 and cast steels. ",0.4,0.6,,0.5,0.12,12.75,0.75,0.6,,,,,,,,,,,,,,,,,,,
